Date,Score,Delta_score
2003-01-29,0.8771750330924988,
2003-03-18,0.8637198805809021,-0.01345515251159668
2003-05-06,0.8976147174835205,0.03389483690261841
2003-06-25,0.9188771843910216,0.02126246690750111
2003-08-12,0.8905254602432251,-0.02835172414779652
2003-09-16,0.8979430198669434,0.007417559623718262
2003-10-28,0.8979430198669434,0.0
2003-12-09,0.9024128913879396,0.004469871520996205
2004-01-28,0.9038237929344176,0.0014109015464780494
2004-03-16,0.9036291241645812,-0.00019466876983642578
2004-05-04,0.9088958501815796,0.005266726016998402
2004-06-30,0.8992710113525391,-0.009624838829040527
2004-08-10,0.9029169678688048,0.003645956516265758
2004-09-21,0.9121161103248596,0.009199142456054799
2004-11-10,0.9001068472862244,-0.012009263038635254
2004-12-14,0.8959119319915771,-0.004194915294647217
2005-02-02,0.9041380286216736,0.008226096630096436
2005-03-22,0.9056412577629088,0.0015032291412352405
2005-05-03,0.9146252274513244,0.008983969688415527
2005-06-30,0.924798309803009,0.010173082351684681
2005-08-09,0.929663360118866,0.004865050315856934
2006-01-31,0.9242410063743592,-0.005422353744506725
2006-03-28,0.928682506084442,0.004441499710082786
2006-05-10,0.9366983771324158,0.008015871047973744
2006-06-29,0.9327157735824584,-0.003982603549957386
2006-08-08,0.914620876312256,-0.018094897270202415
2006-09-20,0.908237636089325,-0.006383240222931019
2006-10-25,0.9039736390113832,-0.0042639970779417835
2006-12-12,0.8963468670845032,-0.007626771926879994
2007-01-31,0.8995832204818726,0.0032363533973693848
2007-03-21,0.8982934951782227,-0.0012897253036499023
2007-05-09,0.8980634808540344,-0.00023001432418823242
2007-06-18,0.8884806632995605,-0.009582817554473877
2007-08-07,0.859611451625824,-0.028869211673736572
2007-08-10,0.830365002155304,-0.02924644947052002
2007-08-17,0.8228564858436584,-0.007508516311645508
2007-09-18,0.8193891644477844,-0.0034673213958740234
2007-10-31,0.8308308124542236,0.011441648006439209
2007-12-11,0.8731713891029358,0.04234057664871216
2008-01-22,0.8565199971199036,-0.016651391983032227
2008-01-30,0.8695559501647949,0.013035953044891357
2008-03-11,0.8393641710281372,-0.030191779136657715
2008-03-18,0.8358888030052185,-0.003475368022918701
2008-04-30,0.8908118009567261,0.05492299795150757
2008-06-25,0.8949857950210571,0.004173994064331055
2008-08-05,0.8786332607269287,-0.016352534294128418
2008-09-16,0.8459413051605225,-0.03269195556640625
2008-10-08,0.678925633430481,-0.1670156717300415
2008-10-29,0.7026273608207703,0.023701727390289307
2008-12-16,0.4973003268241882,-0.2053270339965821
2009-01-28,0.5152190923690796,0.017918765544891413
2009-03-18,0.6765437126159668,0.1613246202468872
2009-04-29,0.6540203094482422,-0.02252340316772461
2009-06-24,0.7296499013900757,0.0756295919418335
2009-08-12,0.6964305639266968,-0.033219337463378906
2009-09-23,0.6532239317893982,-0.043206632137298584
2009-11-04,0.6520466804504395,-0.0011772513389587402
2009-12-16,0.493469774723053,-0.15857690572738647
2010-01-27,0.6631602644920349,0.16969048976898193
2010-03-16,0.7333930134773254,0.07023274898529053
2010-04-28,0.7486127018928528,0.015219688415527344
2010-05-09,0.5579768419265747,-0.19063585996627808
2010-06-23,0.5441436171531677,-0.013833224773406982
2010-08-10,0.5838191509246826,0.03967553377151489
2010-09-21,0.5565010905265808,-0.027318060398101807
2010-11-03,0.3980591595172882,-0.1584419310092926
2010-12-14,0.4312105476856231,0.033151388168334905
2011-01-26,0.3825124204158783,-0.04869812726974482
2011-03-15,0.4757402539253235,0.09322783350944519
2011-04-27,0.5307400822639465,0.05499982833862305
2011-06-22,0.3877509832382202,-0.14298909902572632
2011-08-09,0.2981439530849457,-0.08960703015327454
2011-09-21,0.3442040681838989,0.04606011509895325
2011-11-02,0.448436439037323,0.10423237085342407
2011-12-13,0.4380504488945007,-0.010385990142822321
2012-01-25,0.3890131413936615,-0.04903730750083918
2012-03-13,0.4750758409500122,0.08606269955635071
2012-04-25,0.559328019618988,0.08425217866897583
2012-06-20,0.5272271037101746,-0.03210091590881348
2012-08-01,0.5541344881057739,0.026907384395599365
2012-09-13,0.5043431520462036,-0.04979133605957031
2012-10-24,0.6249856948852539,0.12064254283905029
2012-12-12,0.3984362483024597,-0.2265494465827942
2013-01-30,0.2161678075790405,-0.18226844072341922
2013-03-20,0.1606813669204712,-0.05548644065856931
2013-05-01,0.0901450738310813,-0.0705362930893899
2013-06-19,0.056029450148344,-0.034115623682737295
2013-07-31,0.0362005941569805,-0.019828855991363498
2013-09-18,0.02391411177814,-0.012286482378840502
2013-10-30,0.0184526890516281,-0.0054614227265119
2013-12-18,0.01623953320086,-0.0022131558507680997
2014-01-29,0.0074119679629802,-0.008827565237879798
2014-03-19,0.0099152196198701,0.0025032516568899007
2014-04-30,0.0100487684831023,0.00013354886323219996
2014-06-18,0.0100487684831023,0.0
2014-07-30,0.0100487684831023,0.0
2014-09-17,0.0116687882691621,0.0016200197860597992
2014-09-17,0.0278366319835186,0.0161678437143565
2014-10-29,0.0225985832512378,-0.005238048732280801
2014-12-17,0.0158374514430761,-0.006761131808161701
2015-01-28,0.0115704946219921,-0.004266956821083998
2015-03-18,0.0104169026017189,-0.0011535920202732
2015-04-29,0.0068944613449275,-0.003522441256791401
2015-06-17,0.0123721146956086,0.0054776533506811
2015-07-29,0.0147653603926301,0.0023932456970215
2015-09-17,0.0091789718717336,-0.005586388520896501
2015-10-28,0.0152346286922693,0.0060556568205357
2015-12-16,0.0061667151749134,-0.009067913517355898
2016-01-27,0.012330419383943,0.006163704209029599
2016-01-27,0.0266097132116556,0.0142792938277126
2016-03-16,0.0103914523497223,-0.0162182608619333
2016-04-27,0.0107842413708567,0.0003927890211343991
2016-06-15,0.0227991566061973,0.012014915235340602
2016-07-27,0.0456986352801322,0.022899478673934895
2016-09-21,0.0557085461914539,0.010009910911321702
2016-11-02,0.052559595555067,-0.003148950636386899
2016-12-14,0.0909928455948829,0.038433250039815896
2017-02-01,0.1760047376155853,0.0850118920207024
2017-03-15,0.2466796487569809,0.0706749111413956
2017-05-03,0.3237316310405731,0.07705198228359222
2017-06-14,0.1878455281257629,-0.1358861029148102
2017-06-14,0.092428870499134,-0.09541665762662892
2017-07-26,0.1776254177093505,0.08519654721021651
2017-09-20,0.1316300928592682,-0.045995324850082314
2017-11-01,0.054922379553318,-0.07670771330595019
2017-12-13,0.1033073365688324,0.048384957015514395
2018-01-31,0.1929695010185241,0.08966216444969169
2018-01-31,0.126147374510765,-0.0668221265077591
2018-03-21,0.1748049855232238,0.0486576110124588
2018-05-02,0.2232885956764221,0.0484836101531983
2018-06-13,0.3900502622127533,0.1667616665363312
2018-08-01,0.5079613327980042,0.11791107058525085
2018-09-26,0.5214675664901733,0.01350623369216919
2018-11-08,0.4989729821681976,-0.022494584321975764
2018-12-19,0.506392776966095,0.007419794797897394
2019-01-30,0.2609982192516327,-0.24539455771446228
2019-01-30,0.1515570431947708,-0.10944117605686188
2019-01-30,0.257719874382019,0.10616283118724817
2019-03-20,0.11301239579916,-0.14470747858285898
2019-03-20,0.258643627166748,0.145631231367588
2019-05-01,0.3801512122154236,0.12150758504867559
2019-06-19,0.4216839075088501,0.041532695293426514
2019-07-31,0.3931745886802673,-0.02850931882858282
2019-09-18,0.4770178496837616,0.08384326100349432
2019-10-11,0.2754148840904236,-0.201602965593338
2019-10-30,0.4863612949848175,0.21094641089439392
2019-12-11,0.5914897322654724,0.10512843728065491
2020-01-29,0.5903106927871704,-0.001179039478302002
2020-03-03,0.4723182320594787,-0.1179924607276917
2020-03-15,0.3324548006057739,-0.13986343145370478
2020-03-19,0.4384671449661255,0.10601234436035156
2020-03-23,0.5324472784996033,0.09398013353347778
2020-03-31,0.2790633738040924,-0.25338390469551086
2020-04-29,0.1927910596132278,-0.08627231419086462
2020-06-10,0.2099304050207138,0.017139345407486017
2020-07-29,0.2604513168334961,0.05052091181278229
2020-08-27,0.1143990308046341,-0.146052286028862
2020-09-16,0.2425202876329422,0.1281212568283081
2020-11-05,0.3001700043678283,0.057649716734886114
2020-12-16,0.3621992766857147,0.06202927231788641
2021-01-27,0.4213902056217193,0.05919092893600458
2021-03-17,0.4767571091651916,0.05536690354347229
2021-04-28,0.5314443707466125,0.054687261581420954
2021-06-16,0.6458625793457031,0.11441820859909058
2021-07-28,0.6768385171890259,0.030975937843322754
2021-09-22,0.771806538105011,0.09496802091598511
2021-11-03,0.6112785339355469,-0.1605280041694641
2021-12-15,0.7466650009155273,0.13538646697998047
2022-01-26,0.8382066488265991,0.09154164791107178
2022-03-16,0.8869122862815857,0.04870563745498657
2022-05-04,0.9142861366271972,0.02737385034561146
2022-06-15,0.942361295223236,0.02807515859603882
2022-07-27,0.9479186534881592,0.005557358264923207
2022-09-21,0.954642415046692,0.006723761558532826
2022-11-02,0.9547669291496276,0.00012451410293556897
2022-12-14,0.957300305366516,0.0025333762168884277
2023-02-01,0.9513285756111144,-0.005971729755401611
2023-03-22,0.9427319765090942,-0.008596599102020153
2023-05-03,0.9463829398155212,0.003650963306427002
2023-06-14,0.9576366543769836,0.011253714561462402
2023-07-26,0.9664977788925172,0.008861124515533558
2023-09-20,0.9642152190208436,-0.002282559871673584
2023-11-01,0.9506061673164368,-0.01360905170440685
2023-12-13,0.9406484365463256,-0.009957730770111195
2024-01-31,0.9724633693695068,0.03181493282318126
2024-03-20,0.9717983603477478,-0.0006650090217590332
2024-05-01,0.9658949375152588,-0.005903422832489014
2024-06-12,0.9668763875961304,0.000981450080871582
2024-07-31,0.9710232615470886,0.004146873950958252
2024-09-18,0.9815753698349,0.01055210828781139
2024-11-07,0.9837770462036132,0.002201676368713157
2024-12-18,0.9844554662704468,0.0006784200668336071
2025-01-29,0.9731040000915528,-0.011351466178893932
2025-03-19,0.9691724181175232,-0.003931581974029652
2025-05-07,0.9584940075874328,-0.010678410530090443
2025-06-18,0.9533562064170836,-0.005137801170349121
2025-07-30,0.94907808303833,-0.004278123378753662
2025-09-17,0.9542495012283324,0.005171418190002441
2025-10-29,0.9378297924995422,-0.016419708728790172
2025-12-10,0.9462486505508424,0.00841885805130016